n,eps_cinf,eps_hann,eps_std
1,0.18476529968737777795,1.775561820134945e-01,6.811932883173892e-01
2,0.068200174596917557117,4.027873148576729e-02,4.590439342911308e-01
3,0.018500187055587778691,1.127763858470432e-02,3.708704893460674e-01
4,0.0038584982031475506393,5.016007284088135e-03,3.199436669040029e-01
5,0.0037321346655552181395,2.751335276331563e-03,2.856450664933085e-01
6,0.0028818982767142123650,1.703814219359217e-03,2.604965476555289e-01
7,0.0013439720045042372406,1.142575958743544e-03,2.410268342826269e-01
8,0.00071397699928833801885,8.107431267135786e-04,2.253709963729445e-01
9,0.00029526053613160603952,6.001174256837328e-04,2.124241936860717e-01
10,0.00012151245188110142554,4.590498997991736e-04,2.014841270080541e-01
11,0.00012083197763899471423,3.605030159425725e-04,1.920799211835479e-01
12,0.00010384550163631760778,2.892801369559842e-04,1.838823640774327e-01
13,0.000076797003261302193144,2.363424632879553e-04,1.766533740454197e-01
14,0.000057267787511234248800,1.960595234010261e-04,1.702159050654541e-01
15,0.000035702431860389104637,1.647863315829455e-04,1.644351806379158e-01
16,0.000022813186483829046320,1.400850837493539e-04,1.592065350649699e-01
17,0.000012617741181458909439,1.202791193935862e-04,1.544472760037069e-01
18,6.8179129661516005865e-6,1.041869457868162e-04,1.500910845604846e-01
19,4.1910704891619270386e-6,9.095810161049787e-05,1.460840673329555e-01
20,3.2095307907843602985e-6,7.996878951241904e-05,1.423819134564630e-01
21,3.2084801235864526102e-6,7.075374053265605e-05,1.389478086412034e-01
22,2.9693153245202073713e-6,6.296067881448164e-05,1.357508788702223e-01
23,2.5839638832087967965e-6,5.631924656736680e-05,1.327650117568285e-01
24,2.1657739324999092328e-6,5.061939414736972e-05,1.299679517848641e-01
25,1.6717455144461161096e-6,4.569609407373964e-05,1.273405972372098e-01
26,1.2806780932509914440e-6,4.141835955280147e-05,1.248664477280422e-01
27,9.0152933516202946956e-7,3.768124296720528e-05,1.225311656289432e-01
28,6.3129670655192530480e-7,3.439992954923237e-05,1.203222246337445e-01
29,4.0659179577237014151e-7,3.150532524465288e-05,1.182286257082311e-01
30,2.5858503199784015983e-7,2.894072421400875e-05,1.162406656651569e-01
31,1.6454472504580296535e-7,2.665926593699377e-05,1.143497472145867e-01
